image_path,material,source,condition,recyclable
cotton_001.jpg,COTTON,PRODUCTION_SCRAP,CLEAN,1
cotton_002.jpg,COTTON,CUTTING_WASTE,CLEAN,1
cotton_003.jpg,COTTON,QUALITY_REJECT,DAMAGED,1
polyester_001.jpg,POLYESTER,PRODUCTION_SCRAP,CLEAN,1
polyester_002.jpg,POLYESTER,CUTTING_WASTE,CLEAN,1
polyester_003.jpg,POLYESTER,QUALITY_REJECT,DAMAGED,1
denim_001.jpg,DENIM,CUTTING_WASTE,CLEAN,1
denim_002.jpg,DENIM,PRODUCTION_SCRAP,CLEAN,1
denim_003.jpg,DENIM,QUALITY_REJECT,DAMAGED,1
wool_001.jpg,WOOL,PRODUCTION_SCRAP,CLEAN,1
wool_002.jpg,WOOL,CUTTING_WASTE,CLEAN,1
silk_001.jpg,SILK,CUTTING_WASTE,CLEAN,1
linen_001.jpg,LINEN,PRODUCTION_SCRAP,CLEAN,1
nylon_001.jpg,NYLON,PRODUCTION_SCRAP,CLEAN,1
rayon_001.jpg,RAYON,CUTTING_WASTE,CLEAN,1
acrylic_001.jpg,ACRYLIC,PRODUCTION_SCRAP,CLEAN,1
blend_001.jpg,BLENDED,CUTTING_WASTE,CLEAN,1
blend_002.jpg,BLENDED,QUALITY_REJECT,DAMAGED,1
